Bar,Tempo_medio_min,Tempo_mediano_min,Tempo_max_min,Dist_media_km,Dist_mediana_km,Cobertura_rede,Ranking_acessibilidade
BAR BATATA D'MOLA,4.569461032385135,3.472930129426488,13.793802893441564,4.035371113228095,3.040912297930123,100.0,1.0
BAR DO MARQUIM,4.635333433643799,3.4290132579997326,13.898712850619317,4.059944522411821,3.1455898682739987,100.0,2.0
CAMINHO DA ROCA,4.803771435125421,3.5815627191850194,15.398910946150432,4.262510421291133,3.345548096464711,100.0,3.0
BAR DO ABILIO,4.953591144864612,3.6658767958838805,15.25218435657094,4.304044504029076,3.584680142008743,100.0,4.0
REZA FORTE,4.984819145102266,4.026359390401193,14.570352657437825,4.256804553373454,3.502484036430235,100.0,5.0
CARLOTA,5.093282497551841,3.9795488017310516,15.512068965615118,4.188000215759753,3.532863660317516,100.0,6.0
BIROSCA BAR E RESTAURANTE,5.094326631331874,4.308137091659616,14.35047187678452,4.348494389148831,3.5209541724886266,100.0,7.0
BAR DU CHICO,5.129344255315275,3.9131306044990892,15.730478831464504,4.170491181985903,3.3895640651957355,100.0,8.0
PAPPADOG BAR,5.149893107525022,4.1288261743461465,15.94617440131156,4.434368113722778,3.615553850590034,100.0,9.0
INFORMAL BAR & RESTAURANTE,5.258002183554666,4.468443522432285,14.396325607945702,4.411430652670037,3.519956636993371,100.0,10.0
BUTIQUIM DA FABRICA,5.3194140337851215,4.468443522432285,16.74686304987748,4.579725417208117,3.892486979578873,100.0,11.0
ESPETINHO DA VILLA,5.353365521858634,4.5449730083267905,16.713945867279858,4.578140807060722,4.015097983355601,100.0,12.0
LERO LERO,5.437804311794666,4.5449730083267905,13.59976967421392,4.925346105722331,4.233840735568728,100.0,13.0
DIRCEUS PUB,5.5357464565879715,4.974865996075526,17.102527173178817,4.767831609706043,4.000181691955413,100.0,14.0
VARANDA RESTO BEER,5.585987308626704,4.389930137177312,16.685632727237156,4.641858944744326,3.772559907900343,100.0,15.0
BAR DU BUNECO,5.707463921661671,4.929514822912063,13.649708834836328,5.124925646776882,4.477615137339761,100.0,16.0
SUPER LAZIN,5.7654926177844965,4.709596137380507,15.482623267510805,4.951060996687322,4.216482866462689,100.0,17.0
CASARAO BAR,5.959502435186743,4.961737235252709,15.734764365383006,4.898201518625006,4.20229960053171,100.0,18.0
BUDEGA DO PAPAI,5.99743246324052,5.402937784467273,13.615494749355102,5.683050760151921,5.269588299198326,100.0,19.0
IBITIBAR,6.13624777048699,5.642677663362632,17.92463629398068,5.495011951082941,5.199645665446403,100.0,20.0
BAR SANTA MODERACAO,6.3036545092093865,5.73313948931274,17.914578630346174,5.572025056614959,5.0246392017369725,100.0,21.0
EMPORIO DO SABOR,6.398765688811937,5.407508148500963,16.99979655582397,5.71469289031707,4.79227713975332,100.0,22.0
BAR DIAS,6.543587077052322,6.158629540837041,13.007330226296174,5.814270336879444,5.676006183626298,100.0,23.0
PAO MOIADO BAR,6.8162079615765085,6.056333042317791,18.338060565988226,5.930909260360073,5.381190921874341,100.0,24.0
BAR DO PASSARINHO,6.842129332379623,6.551047723650895,13.241551134371042,5.417324603468244,4.928975034578031,100.0,25.0
BAR TORRESMO,6.845928678552712,6.330483919335653,18.813720492107368,6.208846146718146,5.362769699203733,100.0,26.0
BUTECO DO PRINCIPE,6.868178488877093,6.1184428237043145,17.759960674183773,5.938142139005177,5.199645665446403,100.0,27.0
BAR DO JORGE,6.9067724068629515,6.3775619429353485,17.13786091587856,5.722449336533317,5.177983112734097,100.0,28.0
ZAKAS GASTRO BEER,7.157042958450368,6.459778965486323,15.301272775745831,5.446388186719647,4.775355446561766,100.0,29.0
BAR DO ANTONIO,7.4526650730831925,7.081787112996521,17.648515952650772,6.0055059450754396,5.676006183626298,100.0,30.0
COMPADRE GRILL COSTELARIA,7.4612221159318235,6.90278816062115,15.14494147436806,6.876347474527517,6.384932131137758,100.0,31.0
BAR DO BENE,7.666816489101768,7.076605732072967,17.53891030810621,6.418007401014833,5.7328833412182885,100.0,32.0
PETISQUEIRA,8.080386450095123,7.26417619246438,20.026048995213497,6.510156531362904,5.627042154757503,100.0,33.0
BAR DO TIAO,8.397455877672694,7.672410175741026,18.59450009848214,6.882839184932045,6.422127266601222,100.0,34.0
DON JUAN GASTRONOMIA E EVENTOS,8.615652423655087,7.7445749274638676,20.028040134266707,6.830638676533802,6.065028635406994,100.0,35.0
RECANTO DOS MANACAS,8.967285459499944,7.800502264260862,19.835561294913752,7.807877220845811,6.814549400591133,100.0,36.0
ADEGA BAR,11.806745924072835,10.676407500377953,22.68276927983452,10.880573337995752,9.947957412666621,100.0,37.0
COLISEUM BAR,15.22975538962215,15.455215016820684,22.321534300288807,13.774635002229939,14.118950541371854,100.0,38.0
NOSSO BAR JF,15.270176129312384,15.343586984440709,22.378291548497476,13.644734167396825,13.96755283321354,100.0,39.0
BAR DO BREJO,15.499452092926013,15.734764365383006,22.68276927983452,14.09503685901125,14.385605606110124,100.0,40.0
